FP,MM,lnPvap,Method
458.30,312.5304,-8.3328,0
430.60,301.3091,-1.48332,0
414.30,290.0879,-0.7907,0
397.30,267.6454,-0.09782,0
391.10,245.2028,0.30756,0
385.00,222.7603,0.595198,0
379.50,200.3178,0.818315,0
