FP,MM,lnPvap,Method,NC,C=C,s
374.70,186.29,1.83,0,11,0.0,407.6893
370.60,183.49,2.44,0,10,0.0,750.17
365.60,180.68,2.82,0,10,0.0,750.17
360.60,175.07,3.31,0,10,0.0,750.17
354.60,169.46,3.64,0,10,0.0,750.17
351.30,163.85,3.88,0,10,0.0,750.17
348.60,158.24,4.08,0,9,0.0,342.479
398.40,214.34,-0.43,0,13,0.0,472.8996
384.60,208.73,1.87,0,11,0.0,815.38
376.30,203.12,2.51,0,11,0.0,815.38
364.60,191.90,3.18,0,11,0.0,815.38
357.60,180.68,3.57,0,11,0.0,815.38
351.90,169.46,3.86,0,11,0.0,815.38
419.70,242.40,-2.71,0,15,0.0,538.1099
393.50,233.98,1.79,0,12,0.0,880.59
380.10,225.57,2.47,0,12,0.0,880.59
366.70,208.73,3.16,0,12,0.0,880.59
357.70,191.90,3.57,0,12,0.0,880.59
352.70,175.07,3.86,0,12,0.0,880.59
440.30,270.45,-5.00,0,17,0.0,603.3203
396.90,259.23,1.78,0,13,0.0,945.80
382.60,248.01,2.47,0,13,0.0,945.80
366.90,225.57,3.16,0,13,0.0,945.80
358.30,203.12,3.57,0,13,0.0,945.80
352.60,180.68,3.86,0,13,0.0,945.80
455.50,298.50,-7.30,0,19,0.0,668.5306
401.30,284.48,1.78,0,14,0.0,1011.01
385.50,270.45,2.47,0,14,0.0,1011.01
367.50,242.40,3.16,0,14,0.0,1011.01
357.30,214.34,3.57,0,14,0.0,1011.01
352.00,186.29,3.86,0,14,0.0,1011.01
445.80,296.49,-6.92,0,19,1.0,637.2973
400.40,282.66,1.78,0,14,1.0,979.78
383.10,268.84,2.47,0,14,1.0,979.78
367.80,241.19,3.16,0,14,1.0,979.78
358.50,213.54,3.57,0,14,1.0,979.78
353.50,185.89,3.86,0,14,1.0,979.78
393.70,211.54,0.19,0,12,0.0,880.59
390.70,208.73,0.57,0,12,0.0,880.59
385.40,203.12,1.06,0,12,0.0,880.59
380.70,197.51,1.38,0,12,0.0,880.59
