FP,MM,lnPvap,Method,NC,C=C,s,System
277.05,79.73,8.78,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
277.65,72.31,8.88,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
280.05,64.89,8.97,1,5,0,333,Propyl Acetate + Ethanol
281.95,108.18,8.35,1,7,0,504.1,Propyl Acetate + Octane
278.65,100.76,8.5,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
277.85,93.35,8.63,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
277.75,85.93,8.74,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
278.25,78.52,8.85,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
279.85,71.1,8.94,1,5,0,333,Propyl Acetate + Ethanol
281.85,106.97,8.45,1,7,0,504.1,Propyl Acetate + Octane
278.55,99.55,8.59,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
277.85,92.14,8.71,1,5,0,625.1,Propyl Acetate + Ethanol + Octane
278.65,84.722,8.8139,1,5,0,625.09,Propyl Acetate + Ethanol + Octane
279.85,77.306,8.9109,1,5,0,333.02,Propyl Acetate + Ethanol
281.85,105.76,8.5429,1,7,0,504.13,Propyl Acetate + Octane
279.65,98.344,8.6683,1,5,0,625.09,Propyl Acetate + Ethanol + Octane
279.15,90.928,8.7797,1,5,0,625.09,Propyl Acetate + Ethanol + Octane
280.15,83.512,8.8799,1,5,0,333.02,Propyl Acetate + Ethanol
282.25,104.55,8.6287,1,7,0,504.13,Propyl Acetate + Octane
280.35,97.134,8.7443,1,5,0,625.09,Propyl Acetate + Ethanol + Octane
282.25,89.718,8.8479,1,5,0,333.02,Propyl Acetate + Ethanol
282.65,103.34,8.7076,1,7,0,504.13,Propyl Acetate + Octane
282.15,95.925,8.8149,1,5,0,333.02,Propyl Acetate + Ethanol
284.55,102.13,8.7808,1,5,0,212.06,Propyl Acetate
314,74.12,6.92,0,4,0,186.1702,Butanol
316.23,93.75,6.7,0,7,0,561.2543,Butanol + Ethyl Octanoate
318.23,113.38,6.43,0,7,0,561.2543,Butanol + Ethyl Octanoate
322.59,133.01,6.04,0,7,0,561.2543,Butanol + Ethyl Octanoate
329.23,152.64,5.39,0,7,0,561.2543,Butanol + Ethyl Octanoate
337.18,162.45,4.79,0,7,0,561.2543,Butanol + Ethyl Octanoate
316.62,99.36,6.7,0,8,0,626.4646,Butanol + Ethyl Decanoate
319.67,124.6,6.41,0,8,0,626.4646,Butanol + Ethyl Decanoate
322.33,149.84,6.01,0,8,0,626.4646,Butanol + Ethyl Decanoate
330.33,175.08,5.32,0,8,0,626.4646,Butanol + Ethyl Decanoate
343.32,187.7,4.64,0,8,0,626.4646,Butanol + Ethyl Decanoate
314.95,104.97,6.7,0,9,0,691.675,Butanol + Ethyl Laurate
318.62,135.82,6.41,0,9,0,691.675,Butanol + Ethyl Laurate
321.36,166.67,6.01,0,9,0,691.675,Butanol + Ethyl Laurate
330.08,197.52,5.31,0,9,0,691.675,Butanol + Ethyl Laurate
341.84,212.95,4.62,0,9,0,691.675,Butanol + Ethyl Laurate
316.33,110.58,6.7,0,10,0,756.8853,Butanol + Ethyl Myristate
319,147.04,6.41,0,10,0,756.8853,Butanol + Ethyl Myristate
322.38,183.5,6.01,0,10,0,756.8853,Butanol + Ethyl Myristate
331.47,219.96,5.31,0,10,0,756.8853,Butanol + Ethyl Myristate
346.88,238.19,4.62,0,10,0,756.8853,Butanol + Ethyl Myristate
315.92,116.19,6.7,0,11,0,822.0956,Butanol + Ethyl Palmitate
319.28,158.26,6.41,0,11,0,822.0956,Butanol + Ethyl Palmitate
322.64,200.33,6.01,0,11,0,822.0956,Butanol + Ethyl Palmitate
336,242.41,5.31,0,11,0,822.0956,Butanol + Ethyl Palmitate
